                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                 1.8178,                  1.121,                0.99389,                0.62236,                0.41234,                0.41108,                0.18082,                 2.1181,                 1.4451,                 1.2286,               0.006271,               0.006271,               0.006271
                    115,                 1.7447,                 1.0981,                0.92494,                0.66428,                0.36743,                0.38541,                0.18056,                 2.1179,                  1.473,                 1.2305,               0.006238,               0.006238,               0.006238
                    116,                  1.696,                 1.0364,                0.97324,                0.64039,                0.39054,                0.37025,                0.18336,                 2.0638,                 1.3983,                 1.2078,               0.006205,               0.006205,               0.006205
                    117,                 1.7826,                 1.1231,                0.97614,                0.58007,                0.39769,                0.39235,                0.19443,                 2.0588,                 1.3559,                 1.2407,               0.006172,               0.006172,               0.006172
                    118,                 1.8036,                 1.1787,                 1.0053,                0.60431,                0.39323,                0.38604,                0.17566,                 2.1662,                 1.3962,                 1.2407,               0.006139,               0.006139,               0.006139
                    119,                 1.7593,                 1.1225,                 0.9402,                0.65311,                0.37816,                0.38635,                0.18742,                 2.1871,                 1.3985,                 1.2572,               0.006106,               0.006106,               0.006106
                    120,                 1.7044,                 1.0553,                0.94318,                0.70883,                 0.3875,                0.38615,                0.18263,                 2.1997,                 1.4031,                 1.2967,               0.006073,               0.006073,               0.006073
                    121,                 1.7476,                 1.0948,                0.98015,                0.70831,                0.40308,                0.41341,                0.20251,                 2.1898,                 1.2992,                 1.3362,                0.00604,                0.00604,                0.00604
                    122,                 1.7691,                 1.1333,                0.94332,                0.65131,                0.37677,                0.40099,                0.20182,                 2.1914,                 1.4369,                 1.2513,               0.006007,               0.006007,               0.006007
                    123,                 1.8304,                 1.1169,                0.96382,                0.62981,                0.35029,                0.39358,                0.18676,                  2.141,                 1.4411,                 1.2213,               0.005974,               0.005974,               0.005974
                    124,                 1.7705,                 1.1389,                0.91674,                0.55762,                0.43687,                0.40101,                0.18992,                  2.144,                 1.4132,                 1.2247,               0.005941,               0.005941,               0.005941
                    125,                 1.8254,                 1.0998,                0.94664,                0.58828,                0.40014,                0.40533,                0.18725,                 2.1778,                 1.3663,                 1.2372,               0.005908,               0.005908,               0.005908
                    126,                  1.798,                 1.0782,                 0.9553,                0.59421,                0.44496,                0.42029,                0.19079,                 2.1044,                 1.3961,                  1.186,               0.005875,               0.005875,               0.005875
                    127,                 1.7848,                   1.05,                0.96405,                0.74943,                0.38714,                0.41676,                0.19803,                 2.1443,                 1.3456,                 1.1883,               0.005842,               0.005842,               0.005842
                    128,                 1.6581,                 1.0133,                0.91281,                0.70745,                0.36907,                0.40131,                0.18597,                 2.1598,                 1.4543,                 1.1728,               0.005809,               0.005809,               0.005809
                    129,                 1.7538,                 1.0634,                0.91132,                0.62091,                0.42013,                0.44292,                0.19257,                 2.0954,                 1.4872,                  1.174,               0.005776,               0.005776,               0.005776
                    130,                 1.6829,                  1.067,                  0.873,                0.70151,                0.37119,                0.40742,                0.17572,                 2.1075,                 1.4331,                  1.168,               0.005743,               0.005743,               0.005743
                    131,                 1.6057,                  1.014,                0.89991,                0.60009,                0.39858,                0.38644,                0.17206,                 2.1394,                 1.4722,                 1.1652,                0.00571,                0.00571,                0.00571
                    132,                 1.7748,                 1.0327,                0.92244,                 0.6628,                0.37686,                0.40245,                0.17477,                 2.1753,                 1.5349,                 1.1799,               0.005677,               0.005677,               0.005677
                    133,                 1.6708,                0.96382,                0.92719,                0.72772,                0.37306,                0.42344,                0.17922,                 2.0974,                 1.4202,                 1.1883,               0.005644,               0.005644,               0.005644
                    134,                 1.6987,                 1.0116,                 0.9372,                0.63113,                0.40455,                0.38947,                0.18409,                 2.1693,                 1.4372,                 1.2286,               0.005611,               0.005611,               0.005611
                    135,                 1.7306,                  1.027,                0.93579,                0.62678,                0.40775,                0.39881,                0.19418,                 2.1438,                  1.429,                 1.2455,               0.005578,               0.005578,               0.005578
                    136,                 1.6969,                 1.0637,                0.90166,                0.60701,                 0.3785,                0.38853,                0.18379,                 2.1063,                 1.4587,                 1.2294,               0.005545,               0.005545,               0.005545
                    137,                 1.7766,                 1.0635,                0.98505,                0.58241,                0.37998,                0.37625,                0.17229,                 2.1281,                 1.3596,                 1.3075,               0.005512,               0.005512,               0.005512
                    138,                 1.7396,                 1.0505,                0.90991,                0.61414,                0.41719,                0.40502,                0.18408,                  2.198,                 1.3635,                 1.2885,               0.005479,               0.005479,               0.005479
                    139,                  1.699,                  1.049,                0.93489,                0.71892,                0.40854,                0.42477,                0.19694,                 2.1582,                 1.3823,                  1.211,               0.005446,               0.005446,               0.005446
                    140,                 1.6018,                 0.9585,                0.91876,                 0.7369,                0.40464,                0.42087,                0.19938,                 2.0857,                 1.4453,                  1.197,               0.005413,               0.005413,               0.005413
                    141,                 1.6914,                  1.037,                0.93885,                0.72656,                0.41225,                0.41403,                0.19107,                 2.0246,                 1.3682,                 1.1672,                0.00538,                0.00538,                0.00538
                    142,                 1.6537,                0.97095,                0.90933,                0.65113,                0.40798,                 0.4055,                0.18945,                 2.0913,                 1.4082,                 1.1635,               0.005347,               0.005347,               0.005347
                    143,                 1.6038,                0.99779,                0.90674,                0.60456,                0.38443,                0.39722,                0.17857,                 2.1061,                 1.4747,                 1.1871,               0.005314,               0.005314,               0.005314
                    144,                 1.6333,                0.96804,                0.92622,                0.63733,                0.39849,                0.41529,                0.19063,                 2.0964,                 1.4288,                 1.1724,               0.005281,               0.005281,               0.005281
                    145,                 1.7298,                 1.0382,                0.90416,                0.65812,                0.38136,                0.40245,                 0.1834,                 2.0531,                 1.3829,                 1.1624,               0.005248,               0.005248,               0.005248
                    146,                 1.6342,                0.96726,                0.91663,                0.56654,                0.40764,                0.39984,                 0.1879,                 2.0831,                 1.3407,                 1.2659,               0.005215,               0.005215,               0.005215
                    147,                 1.5797,                0.88473,                0.93845,                0.58709,                 0.4212,                0.40188,                0.19208,                 2.0191,                 1.2266,                 1.2556,               0.005182,               0.005182,               0.005182
                    148,                 1.6443,                0.95401,                0.90162,                0.61167,                0.39426,                 0.4147,                0.20188,                 1.9877,                 1.2716,                 1.2428,               0.005149,               0.005149,               0.005149
                    149,                 1.6345,                0.97918,                0.90037,                0.66765,                0.38543,                0.42207,                0.19761,                 2.0373,                 1.3656,                 1.2461,               0.005116,               0.005116,               0.005116
                    150,                 1.6671,                0.98251,                0.92421,                0.62019,                0.38942,                0.38856,                0.18318,                 2.0789,                 1.4457,                  1.249,               0.005083,               0.005083,               0.005083
                    151,                 1.5409,                0.91394,                0.87316,                0.65514,                0.38759,                0.40882,                0.18865,                  2.099,                 1.3705,                 1.2414,                0.00505,                0.00505,                0.00505
                    152,                 1.6599,                0.93584,                0.90857,                0.60464,                0.40472,                0.39959,                0.19088,                  2.096,                 1.3703,                 1.2347,               0.005017,               0.005017,               0.005017
